epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,18802.8,1.08189,2.53455,1.07186,1.13646,0.73325,0.61858,0.70575,0.51237,0.72837,0.57977,0.65437,0.40855,1.03066,2.61269,0.98319,1.1113,0.001288,0.001288,0.001288
90,19001,1.08232,2.53163,1.07037,1.13269,0.73257,0.6185,0.70619,0.51206,0.73112,0.57928,0.65412,0.40899,1.03012,2.60882,0.98207,1.11063,0.001189,0.001189,0.001189
91,19228.3,1.07038,2.46807,0.99641,1.1262,0.73312,0.61856,0.70664,0.51277,0.72972,0.58065,0.65421,0.40946,1.02967,2.61029,0.9811,1.11051,0.00109,0.00109,0.00109
92,19427,1.07043,2.47164,0.99312,1.12646,0.73484,0.61751,0.70691,0.51419,0.73078,0.5838,0.65515,0.4097,1.02903,2.61061,0.97993,1.10995,0.000991,0.000991,0.000991
93,19622,1.06708,2.46392,0.98485,1.11995,0.73065,0.61919,0.70678,0.51373,0.73051,0.5835,0.65505,0.40995,1.02893,2.60828,0.97908,1.10953,0.000892,0.000892,0.000892
94,19819.7,1.06203,2.45966,0.97873,1.12017,0.73031,0.62012,0.70722,0.51437,0.73218,0.58312,0.65447,0.41036,1.02849,2.60806,0.97921,1.1093,0.000793,0.000793,0.000793
95,20017.1,1.06383,2.44886,0.97776,1.11713,0.7213,0.62615,0.7078,0.51451,0.73152,0.58416,0.65463,0.41088,1.02823,2.60733,0.97801,1.10892,0.000694,0.000694,0.000694
96,20213.8,1.05683,2.45223,0.96943,1.11257,0.72112,0.62777,0.70725,0.51445,0.73479,0.58416,0.65568,0.41128,1.02745,2.6061,0.97701,1.10845,0.000595,0.000595,0.000595
97,20411.1,1.05349,2.44191,0.96355,1.11279,0.71871,0.63134,0.7077,0.51469,0.73419,0.58494,0.6565,0.41133,1.02734,2.60398,0.97613,1.10823,0.000496,0.000496,0.000496
98,20609,1.05376,2.45335,0.95876,1.11149,0.7196,0.63111,0.70895,0.51547,0.73375,0.58373,0.65713,0.41121,1.02693,2.60081,0.97514,1.10832,0.000397,0.000397,0.000397
99,20806.8,1.05146,2.43752,0.9586,1.11419,0.72511,0.62809,0.70945,0.51533,0.74006,0.58224,0.65802,0.41142,1.02664,2.59984,0.97429,1.10801,0.000298,0.000298,0.000298
100,21003.4,1.04497,2.42876,0.9512,1.10947,0.72608,0.63001,0.70999,0.5154,0.74062,0.5819,0.6581,0.41191,1.02609,2.5992,0.97354,1.10751,0.000199,0.000199,0.000199
